Date,New COVID-19 Cases,Total Death COVID-19 Cases,Recoveries COVID-19 Cases
1/4/2021,1704,494,1010
1/5/2021,1741,501,1221
1/6/2021,2027,509,1129
1/7/2021,2593,513,2145
1/8/2021,3027,521,2708
1/9/2021,2643,537,1401
1/10/2021,2451,542,1277
1/11/2021,2433,551,1006
1/12/2021,2232,555,1469
1/13/2021,3309,559,994
1/14/2021,2985,563,1710
1/15/2021,3337,578,1939
1/16/2021,3211,586,2148
1/17/2021,4029,594,2676
1/18/2021,3339,601,2293
1/19/2021,3306,605,2944
1/20/2021,3631,619,2374
1/21/2021,4008,630,2490
1/22/2021,3170,642,2554
1/23/2021,3631,660,4313
1/24/2021,4275,667,4427
1/25/2021,3346,678,3638
1/26/2021,3048,689,4076
1/27/2021,3585,700,1858
1/28/2021,3680,707,3281
1/29/2021,4094,717,3423
1/30/2021,5725,733,3805
1/31/2021,5728,746,4522
2/1/2021,5298,760,4280
2/2/2021,4214,770,3661
2/3/2021,3455,791,3804
2/4/2021,4284,809,4092
2/5/2021,4571,826,3392
2/6/2021,3391,845,1692
2/7/2021,3847,857,3369
2/8/2021,3731,872,2340
2/9/2021,3100,896,3887
2/10/2021,2764,909,1929
2/11/2021,3288,923,3774
2/12/2021,3384,936,3505
2/13/2021,3318,953,3515
2/14/2021,3499,958,4525
2/15/2021,2464,965,4521
2/16/2021,2186,975,5718
2/17/2021,2710,983,5709
2/18/2021,2998,1005,5320
2/19/2021,2712,1030,4889
2/20/2021,2936,1043,4782
2/21/2021,2461,1051,4456
2/22/2021,3297,1056,3414
2/23/2021,2192,1062,4055
2/24/2021,2468,1076,3331
2/25/2021,3545,1088,3752
2/26/2021,1924,1100,3085
2/27/2021,2253,1111,3320
2/28/2021,2364,1121,3251
3/1/2021,2437,1130,2486
3/2/2021,1828,1135,2528
3/3/2021,1555,1141,2276
3/4/2021,1745,1148,2922
3/5/2021,2063,1153,3275
3/6/2021,2154,1159,2548
3/7/2021,1680,1166,2506
3/8/2021,1683,1169,2076
3/9/2021,1529,1177,2345
3/10/2021,1280,1186,2137
3/11/2021,1448,1191,2104
3/12/2021,1647,1200,2042
3/13/2021,1575,1203,1830
3/14/2021,1470,1206,1782
3/15/2021,1354,1210,1973
3/16/2021,1208,1213,1365
3/17/2021,1063,1218,1346
3/18/2021,1219,1220,1503
3/19/2021,1213,1223,1996
3/20/2021,1576,1225,1585
3/21/2021,1671,1229,1247
3/22/2021,1327,1233,1495
3/23/2021,1116,1238,1058
3/24/2021,1384,1244,1083
3/25/2021,1268,1246,1491
3/26/2021,1360,1248,1509
3/27/2021,1275,1249,1257
3/28/2021,1199,1251,1127
3/29/2021,1302,1255,1097
3/30/2021,941,1260,1148
3/31/2021,1133,1265,1070
4/1/2021,1482,1272,1377
4/2/2021,1178,1278,1442
4/3/2021,1294,1283,1449
4/4/2021,1638,1286,1270
4/5/2021,1349,1288,1294
4/6/2021,1070,1295,1412
4/7/2021,1300,1300,1199
4/8/2021,1139,1304,1175
4/9/2021,1285,1308,1247
4/10/2021,1854,1313,1248
4/11/2021,1510,1321,1216
4/12/2021,1739,1329,1052
4/13/2021,1317,1333,1290
4/14/2021,1767,1345,1485
4/15/2021,1889,1353,1259
4/16/2021,2148,1363,1524
4/17/2021,2551,1365,1832
4/18/2021,2331,1370,1427
4/19/2021,2195,1378,1402
4/20/2021,2078,1386,1592
4/21/2021,2341,1389,1910
4/22/2021,2340,1400,2541
4/23/2021,2875,1407,2341
4/24/2021,2847,1415,2292
4/25/2021,2717,1426,1853
4/26/2021,2690,1436,1803
4/27/2021,2776,1449,2019
4/28/2021,2733,1462,1822
4/29/2021,3142,1477,1943
4/30/2021,3332,1492,2640
5/1/2021,3788,1506,2462
5/2/2021,2881,1521,2698
5/3/2021,3418,1533,2068
5/4/2021,2500,1551,2334
5/5/2021,3120,1574,2304
5/6/2021,3744,1591,2709
5/7/2021,3551,1610,3449
5/8/2021,4498,1632,2719
5/9/2021,4519,1657,3211
5/10/2021,3733,1683,3454
5/11/2021,3807,1700,2848
5/12/2021,3973,1722,3124
5/13/2021,4765,1761,3347
5/14/2021,4855,1788,4190
5/15/2021,4113,1822,3432
5/16/2021,4140,1866,3990
5/17/2021,3780,1902,2784
5/18/2021,4446,1947,3497
5/19/2021,4865,1994,3516
5/20/2021,6075,2040,3916
5/21/2021,6806,2099,4508
5/22/2021,6493,2149,4694
5/23/2021,6320,2199,3587
5/24/2021,6976,2248,3452
5/25/2021,6509,2309,3789
5/26/2021,7289,2369,4665
5/27/2021,7478,2432,4598
5/28/2021,7857,2491,4814
5/29/2021,8290,2552,5527
5/30/2021,9020,2650,5121
5/31/2021,6999,2729,5251
6/1/2021,6824,2796,6083
6/2/2021,7105,2867,5777
6/3/2021,7703,2993,7049
6/4/2021,8209,3096,6624
6/5/2021,7748,3182,6105
6/6/2021,7452,3291,5133
6/7/2021,6241,3378,7548
6/8/2021,5271,3460,6962
6/9/2021,5566,3536,7386
6/10/2021,6239,3611,7325
6/11/2021,5671,3684,7749
6/12/2021,6849,3768,8334
6/13/2021,5793,3844,8163
6/14/2021,5304,3908,6588
6/15/2021,4949,3968,6831
